opis;klasa
prosba o dodatkowy wywoz papieru. tel. 503 031 515;Wywoz odpadow
pan prosi o dostarczenie workow na odpady bio (20 sztuk) poniewaz firma nie zostawia nowych workow - tel. 605 374 063;Pojemniki/worki na odpady
"zwracam sie do panstwa z uprzejma prosba o podstawienie kontenera na
odpady zielone w nieruchomosci zgodna 10/14 przedszkole nr 12 im.
ksieznej walii.
bardzo dziekuje
";Strefa Zarzadcy
"witam
prosze o podstawienie kontenera na gabaryty lokalizacja krucza 6-8 .
prosze o podanie terminu.";Strefa Zarzadcy
"cala ulica
dotyczy:brak wywozu odpadow bio rejon krzyki wojszyce ul. pachnaca. zglaszam brak wywozu odpadow bio 2 tygodnie z rzedu. w poprzednich 2 - 3 miesiacach rowniez nie byly wywozone odpady o c";Wywoz odpadow
"pilne okolo 400 workow zalega na ul. komandorska, radosna, zaolzianska oraz ul. powstancow 94 - teren sm wroclaw poludnie  brak odbioru workow z zielonymi od 3 -4 tygodni - telefon 696 071 507.  
";Wywoz odpadow
"pilne  ul. walbrzyska 4/1 brak odbioru odpadow zielonych w dniu 28.10.2017r.  tel. 722 071 138. 
";Wywoz odpadow
"witam,
niedawno nabylem domek jednorodzinny. byla wlascicielka jest w trakcie wyprowadzki. po jej wyprowadzce planuje dokonac remontu domu. w tym okresie bede potrzebowal kontener na odpady budowla";Pojemniki/worki na odpady
prosze o naprawe uszkodzonego kosza znajdujacego sie na przeciwko budynku wroclaw 101. od kilku dni obudowa kosza lezy na ziemi,odpady:  pojemniki: ;Sprzatanie miasta
zgloszenie dotyczy nie sprzatnietego terenu  na ul. sokolnicza od sikorskiego do przystanku mpk chodnik i jezdnia nie sprzatane od miesiecy.  ;Sprzatanie miasta
pani zglasza wymiane pojemnika na wiekszy- z 400 l na 660 l na nieruchomosci mieszka 10 osob (zgodnie ze zlozona deklaracja) poniewaz dochodzi do przepelnien, dot. ul. boltucia 9 nr tel. 601766460.;Pojemniki/worki na odpady
mieszkaniec zglasza, ze  regularnie nie sa pozostawiane worki na odpady zielone. bardzo prosze o pozostawienie kilkunastu sztuk w zapasie ;Pojemniki/worki na odpady
wlasciciel nieruchomosci dorota slawecka (tel. 792190461) zglasza brak pojemnika na przedmiotowej nieruchomosci.;Pojemniki/worki na odpady
