opis;klasa
"temat: pas drogowy – zielence
dzielnica: fabryczna
opis miejsca: teren zielony przy parku redzinskim, przy skrzyzowaniu al. sliwowej z ul. redzinska.
opis: 28 lutego zostaly zebranie przez uczniow szkoly podstawowej oraz przedstawicieli samorzadu osiedlowego smieci z parku redzinskiego i okolicy al. sliwowej. spakowane sa one w czarnych workach przy skrzyzowaniu al sliwowej i ul. redzinskiej. dodatkowo stoi przy nich plyta osb oraz rura.";Sprzatanie miasta
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: papier i tektura
pojemniki: worki
opis: nie odebrano odpadow papier spod domow 78-78d ( w tym u mnie 77a) w terminie w lutym , wirki nadal tkwia przed domami. ponadto gdy ostatnio odbierano zolte worki z tworzywem sztucznym nie wzieto wszystkich workow z tymi odpadami! moj zostawiono na srodku drogi! jestem oburzona. prosze o rychle zabranie smieci.";Wywoz odpadow
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: zmieszane odpady komunalne
pojemniki: pojemniki 60-1100 l
opis: dzien dobry,
pomimo dwoch zgloszen o braku wywozu odpadow (id 66764 oraz id 66962) wykonawca nie odebral wczoraj ponownie odpadow - zalaczam zdjecie z dzisiaj rana. ponownie informuje, ze nieprawda jest jakoby mozliwosc odbioru blokowaly samochody, poniewaz sytuacja na osiedlu jest taka sama jak byla w minionych latach, a dojazd do oslony zapewniony jest chodnikiem do wjazdu do garazu poprzez otwieralne bramki oslony. garaz nie jest nigdy zablokowany samochodami. 
prosze zatem ponownie o zobowiazanie wykonawcy do pilnego usuniecia odpadow z oslony w dniu dzisiejszym.
jednoczesnie wnosze o skorygowanie naleznosci za gospodarowanie odpadami w lutym ze wzgledu na brak  wywozow odpadow zmieszanych w tym tygodniu.
nadmieniam jednoczesnie, ze postepowanie firmy alba s.a. jest ewidentnym lekcewazeniem swoich obowiazkow.
z powazaniem,
przemyslaw witczak,
zarzad wspolnoty mieszkaniowej,
tel. 602 642 243.";Wywoz odpadow
"temat: tereny zewnetrzne – wnetrza podworzowe
dzielnica: stare miasto
opis miejsca: plac nowy targ 10 w podworzu przy smietniku
opis: dzien dobry
mieszkaniec z nr telefonu 600 114 153 zglasza, ze 3 martwe szczury znajduja sie w podworzu przy smietniku. prosba o zlecenie utylizacji.";Sprzatanie miasta
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: papier i tektura
pojemniki: pojemniki 60-1100 l
opis: w dniu 28.02 wedlug harmonogramu mialy byc odebrane papier i tektura .odbioru nie dokonano i pojemnik jest pelny .prosimy o oproznienie pojemnika";Wywoz odpadow
"temat: dzikie wysypiska
dzielnica: fabryczna
opis miejsca: przy skrzyzowaniu ulic daktylowej ananasowej i swiezej jest teren zielony na ktorym jest mnostwo smieci-wyglada jak wysypisko.
generalnie w tej okolicy smieci jest bardzo duzo. koszy brak.
opis: przy skrzyzowaniu ulic daktylowej ananasowej i swiezej jest teren zielony na ktorym jest mnostwo smieci-wyglada jak wysypisko.
generalnie w tej okolicy smieci jest bardzo duzo. koszy brak.
niestety nie moge zalaczyc zdjec bo pokazuje mi sie komunikat ze plik jest za duzy. zdjecie zrobione telefonem wiec nie w super jakosci a mimo to panstwa serwis nie pozwala na przeslanie tego pliku.
prosze o usuniecie smieci przy ulicy daktylowej";Sprzatanie miasta
"temat: uszkodzenie mienia
opis miejsca: raclawicka 7-13 wb teren 190301 hallera 14b wysypisko smieci na terenie w zarzadzie zzk - bok 10 ul. gajowicka 96a
opis: dzien dobry...witam serdecznie...
zwracam sie do panstwa z prosba o pomoc, oraz omowienie sprawy w realizacji usuniecia wieloletniego wysypiska smieci przy siedzibie budynku zarzadcy atena & hjw przy ul. hallera 14b.
bede bardzo wdzieczna za pomoc.";Sprzatanie miasta
"temat: przepelnienie pojemnika
odpady: odpady zielone
pojemniki: worki
opis: dzien dobry,
bardzo prosze o dostarczenie nam workow na odpady zielone.
pozdrawiam
agnieszka klonowska";Pojemniki/worki na odpady
"temat: zmiana wielkosci pojemnika
odpady: odpady ze szkla
pojemniki: pojemnik 1100l
opis: na wniosek wm grochowa 20 prosze o wymiane pojemnika na szklo na pojemnik typu dzwon. wymiana jest konieczna z powodu licznych zbieraczy rozrzucajacych smieci podczas poszukiwania 'skarbow' . prosze o pilna wymiane.";Pojemniki/worki na odpady
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: tworzywa sztuczne, metale, opakowania wielomaterialowe
pojemniki: pojemniki 60-1100 l
opis: brak wywozu od poniedzialku";Wywoz odpadow
"temat: zmiana wielkosci pojemnika
odpady: zmieszane odpady komunalne
pojemniki: pojemnik 240l
opis: mieszkancy nieruchomosci przy ul. goreckiej 98 zglaszaja koniecznosc podstawienia wiekszego pojemnika na odpady zmieszane lub zwiekszenie czestotliwosci odbioru odpadow.";Pojemniki/worki na odpady
"temat: tereny zewnetrzne – wnetrza podworzowe
dzielnica: psie pole
opis miejsca: teren przy smietnikach.
opis: prosze o zlecenie sprzatniecia smieci zalegajacych na terenie przy wjezdzie.w dniu wczorajszym palil sie panstwa smietnik.";Sprzatanie miasta
"temat: pas drogowy – kosze
dzielnica: fabryczna
opis miejsca: ul. idzikowskiego przed skrzyzowaniem z ul. bystrzycka, przy przejsciu dla pieszych..
opis: wyrwany kosz uliczny.";Sprzatanie miasta
"temat: dzikie wysypiska
dzielnica: krzyki
opis miejsca: teren nieuzytkow, przedluzenie ul. strawinskiego. wzdluz fosy oddzielajacej osiedla cztery pory roku przy vivaldiego
opis: czy istnieje mozliwosc posprzatania przez miasto wroclaw lub inna instytucje, wskazanego terenu? wzdluz fosy, cieku wodnego, ale takze pobliskiej lace, zalegaja smieci. w wiekszosci, to resztki budowlane, ale tez puszki, szklo. jest to teren uczeszczany przez zwierzaki i zdarzaly sie przypadki okaleczen lap.
z gory dziekuje za odpowiedz i pozdrawiam";Sprzatanie miasta
"temat: inne
opis miejsca: ul. lotnicza, kierunek od ul. gorniczej do ul. kosmonautow, strona prawa, na wysokosci nr 145, peron przystanku autobusowego 12505
opis: przewrocony pojemnik na piasek na peronie przystanku.";Sprzatanie miasta
